interaction_id,occurred_at,customer_id,campaign_id,product_id,channel,event_type,session_id,region,segment,spend_usd,revenue_usd,creative_id,agency_id,deal_id
INT-00146,2025-01-28T04:04:00+00:00,CUST-0087,CAMP-017,SKU-0014,content_syndication,impression,SES-00064,NA,Startup,0.28,0.0,CR-0036,AGY-01,DEAL-1084
INT-00147,2025-01-27T04:41:00+00:00,CUST-0037,CAMP-014,SKU-0013,content_syndication,impression,SES-00090,NA,Startup,0.27,0.0,CR-0018,AGY-01,DEAL-1064
INT-00148,2025-03-26T02:31:00+00:00,CUST-0051,CAMP-023,SKU-0009,email,impression,SES-00074,APAC,Startup,0.04,0.0,CR-0023,AGY-06,DEAL-1087
INT-00149,2025-01-25T17:21:00+00:00,CUST-0062,CAMP-014,SKU-0013,webinar,mql,SES-00070,NA,Mid-Market,12.62,0.0,CR-0045,AGY-01,DEAL-1069
INT-00150,2025-01-31T01:32:00+00:00,CUST-0032,CAMP-004,SKU-0022,webinar,landing_view,SES-00014,APAC,Enterprise,1.7,0.0,CR-0027,AGY-06,DEAL-1016
INT-00151,2025-03-27T02:36:00+00:00,CUST-0088,CAMP-009,SKU-0003,paid_search,purchase,SES-00041,NA,Startup,36.75,18634.44,CR-0042,AGY-01,DEAL-1051
INT-00152,2025-01-22T03:17:00+00:00,CUST-0042,CAMP-019,SKU-0028,paid_search,demo_booked,SES-00023,EMEA,SMB,12.38,187.33,CR-0037,AGY-05,DEAL-1078
INT-00153,2025-03-27T06:03:00+00:00,CUST-0054,CAMP-012,SKU-0008,paid_search,purchase,SES-00102,NA,SMB,37.49,8957.71,CR-0012,AGY-02,DEAL-1011
INT-00154,2025-02-28T08:58:00+00:00,CUST-0002,CAMP-020,SKU-0015,social_paid,trial_start,SES-00086,EMEA,Enterprise,13.69,469.28,CR-0030,AGY-06,DEAL-1035
INT-00155,2025-01-24T10:00:00+00:00,CUST-0035,CAMP-013,SKU-0003,social_paid,impression,SES-00188,NA,SMB,0.38,0.0,CR-0042,AGY-03,DEAL-1079
INT-00156,2025-02-25T14:39:00+00:00,CUST-0095,CAMP-022,SKU-0027,partner,click,SES-00194,EMEA,Enterprise,3.32,0.0,CR-0012,AGY-06,DEAL-1013
INT-00157,2025-02-13T11:00:00+00:00,CUST-0055,CAMP-021,SKU-0020,social_paid,click,SES-00025,EMEA,Mid-Market,1.14,0.0,CR-0009,AGY-06,DEAL-1106
INT-00158,2025-01-28T11:36:00+00:00,CUST-0001,CAMP-017,SKU-0014,organic_social,impression,SES-00193,EMEA,Enterprise,0.02,0.0,CR-0022,AGY-01,DEAL-1017
INT-00159,2025-01-15T12:54:00+00:00,CUST-0034,CAMP-024,SKU-0021,webinar,impression,SES-00031,EMEA,SMB,1.17,0.0,CR-0020,AGY-06,DEAL-1001
INT-00160,2025-02-13T12:36:00+00:00,CUST-0089,CAMP-008,SKU-0017,partner,impression,SES-00057,NA,SMB,0.81,0.0,CR-0009,AGY-05,DEAL-1110
INT-00161,2025-02-17T19:59:00+00:00,CUST-0054,CAMP-031,SKU-0013,webinar,form_submit,SES-00175,NA,SMB,18.2,0.0,CR-0006,AGY-05,DEAL-1011
INT-00162,2025-02-18T20:21:00+00:00,CUST-0073,CAMP-008,SKU-0017,paid_search,mql,SES-00130,EMEA,Startup,7.35,0.0,CR-0037,AGY-05,DEAL-1118
INT-00163,2025-02-11T06:32:00+00:00,CUST-0015,CAMP-014,SKU-0023,content_syndication,impression,SES-00131,LATAM,Enterprise,0.27,0.0,CR-0004,AGY-01,DEAL-1024
INT-00164,2025-01-24T03:52:00+00:00,CUST-0059,CAMP-004,SKU-0022,content_syndication,landing_view,SES-00079,NA,SMB,0.44,0.0,CR-0026,AGY-06,DEAL-1070
INT-00165,2025-01-06T11:37:00+00:00,CUST-0075,CAMP-005,SKU-0013,paid_search,click,SES-00180,LATAM,Enterprise,2.83,0.0,CR-0035,AGY-03,DEAL-1102
INT-00166,2025-03-31T01:12:00+00:00,CUST-0061,CAMP-003,SKU-0005,partner,click,SES-00197,EMEA,Mid-Market,3.21,0.0,CR-0042,AGY-03,DEAL-1009
INT-00167,2025-03-04T03:26:00+00:00,CUST-0048,CAMP-025,SKU-0015,content_syndication,demo_booked,SES-00097,EMEA,Enterprise,7.07,26.6,CR-0006,AGY-02,DEAL-1095
INT-00168,2025-03-10T19:53:00+00:00,CUST-0016,CAMP-012,SKU-0002,organic_social,click,SES-00187,EMEA,Mid-Market,0.04,0.0,CR-0001,AGY-02,DEAL-1007
INT-00169,2025-01-15T02:52:00+00:00,CUST-0060,CAMP-028,SKU-0003,organic_social,mql,SES-00064,EMEA,Enterprise,0.2,0.0,CR-0023,AGY-01,DEAL-1071
INT-00170,2025-01-04T01:20:00+00:00,CUST-0005,CAMP-027,SKU-0005,paid_search,impression,SES-00018,LATAM,Mid-Market,0.74,0.0,CR-0039,AGY-04,DEAL-1006
INT-00171,2025-01-13T18:07:00+00:00,CUST-0032,CAMP-003,SKU-0005,organic_social,click,SES-00139,APAC,Enterprise,0.05,0.0,CR-0004,AGY-03,DEAL-1085
INT-00172,2025-01-21T02:52:00+00:00,CUST-0030,CAMP-021,SKU-0027,display,impression,SES-00037,NA,Enterprise,0.23,0.0,CR-0034,AGY-06,DEAL-1085
INT-00173,2025-03-03T02:34:00+00:00,CUST-0008,CAMP-012,SKU-0008,organic_social,click,SES-00013,APAC,Enterprise,0.05,0.0,CR-0042,AGY-02,DEAL-1061
INT-00174,2025-02-13T02:25:00+00:00,CUST-0090,CAMP-027,SKU-0005,organic_social,impression,SES-00097,LATAM,Mid-Market,0.01,0.0,CR-0035,AGY-04,DEAL-1098
INT-00175,2025-02-20T17:24:00+00:00,CUST-0039,CAMP-010,SKU-0011,content_syndication,trial_start,SES-00144,LATAM,Startup,10.92,127.5,CR-0027,AGY-04,DEAL-1008
INT-00176,2025-01-25T10:27:00+00:00,CUST-0083,CAMP-006,SKU-0007,content_syndication,mql,SES-00024,APAC,SMB,4.13,0.0,CR-0004,AGY-04,DEAL-1109
INT-00177,2025-01-20T06:42:00+00:00,CUST-0010,CAMP-013,SKU-0025,webinar,click,SES-00086,NA,Enterprise,4.52,0.0,CR-0001,AGY-03,DEAL-1115
INT-00178,2025-02-04T15:34:00+00:00,CUST-0062,CAMP-016,SKU-0028,webinar,click,SES-00062,NA,Mid-Market,3.96,0.0,CR-0019,AGY-04,DEAL-1069
INT-00179,2025-03-15T01:46:00+00:00,CUST-0040,CAMP-017,SKU-0014,display,click,SES-00128,NA,Enterprise,0.92,0.0,CR-0007,AGY-01,DEAL-1047
INT-00180,2025-03-09T11:17:00+00:00,CUST-0041,CAMP-014,SKU-0013,display,impression,SES-00012,EMEA,SMB,0.21,0.0,CR-0015,AGY-01,DEAL-1056
INT-00181,2025-02-21T20:43:00+00:00,CUST-0071,CAMP-027,SKU-0005,partner,impression,SES-00085,APAC,Enterprise,0.99,0.0,CR-0025,AGY-04,DEAL-1045
INT-00182,2025-03-09T07:40:00+00:00,CUST-0071,CAMP-022,SKU-0016,partner,form_submit,SES-00126,APAC,Enterprise,12.05,0.0,CR-0042,AGY-06,DEAL-1045
INT-00183,2025-02-17T16:34:00+00:00,CUST-0022,CAMP-009,SKU-0010,content_syndication,impression,SES-00139,APAC,Mid-Market,0.26,0.0,CR-0004,AGY-01,DEAL-1008
INT-00184,2025-03-06T08:50:00+00:00,CUST-0086,CAMP-004,SKU-0024,paid_search,click,SES-00216,LATAM,SMB,2.24,0.0,CR-0005,AGY-06,DEAL-1028
INT-00185,2025-03-25T01:56:00+00:00,CUST-0065,CAMP-030,SKU-0013,display,impression,SES-00164,EMEA,Startup,0.24,0.0,CR-0040,AGY-03,DEAL-1055
INT-00186,2025-03-30T23:20:00+00:00,CUST-0003,CAMP-001,SKU-0010,organic_social,impression,SES-00136,LATAM,SMB,0.01,0.0,CR-0035,AGY-05,DEAL-1111
INT-00187,2025-02-17T22:03:00+00:00,CUST-0023,CAMP-007,SKU-0021,social_paid,click,SES-00062,EMEA,Startup,1.11,0.0,CR-0040,AGY-05,DEAL-1086
INT-00188,2025-01-23T03:17:00+00:00,CUST-0035,CAMP-026,SKU-0018,social_paid,impression,SES-00104,NA,SMB,0.41,0.0,CR-0037,AGY-03,DEAL-1079
INT-00189,2025-02-13T07:50:00+00:00,CUST-0039,CAMP-006,SKU-0026,paid_search,impression,SES-00098,LATAM,Startup,0.65,0.0,CR-0036,AGY-04,DEAL-1112
INT-00190,2025-03-30T23:00:00+00:00,CUST-0090,CAMP-011,SKU-0007,social_paid,click,SES-00112,LATAM,Mid-Market,1.33,0.0,CR-0037,AGY-05,DEAL-1098
INT-00191,2025-01-05T05:42:00+00:00,CUST-0068,CAMP-003,SKU-0014,webinar,impression,SES-00178,APAC,SMB,1.35,0.0,CR-0018,AGY-03,DEAL-1115
INT-00192,2025-02-23T10:23:00+00:00,CUST-0070,CAMP-003,SKU-0018,email,trial_start,SES-00081,EMEA,Mid-Market,1.22,410.45,CR-0014,AGY-03,DEAL-1085
INT-00193,2025-03-23T14:29:00+00:00,CUST-0039,CAMP-011,SKU-0005,webinar,click,SES-00218,LATAM,Startup,4.05,0.0,CR-0044,AGY-05,DEAL-1008
INT-00194,2025-02-09T18:50:00+00:00,CUST-0095,CAMP-009,SKU-0022,social_paid,click,SES-00089,EMEA,Enterprise,1.1,0.0,CR-0007,AGY-01,DEAL-1004
INT-00195,2025-01-21T18:22:00+00:00,CUST-0044,CAMP-026,SKU-0018,display,impression,SES-00070,EMEA,Enterprise,0.23,0.0,CR-0032,AGY-03,DEAL-1084
INT-00196,2025-03-06T21:48:00+00:00,CUST-0056,CAMP-012,SKU-0008,organic_social,impression,SES-00159,EMEA,SMB,0.01,0.0,CR-0016,AGY-02,DEAL-1000
INT-00197,2025-01-09T07:55:00+00:00,CUST-0020,CAMP-025,SKU-0015,email,form_submit,SES-00082,EMEA,SMB,0.36,0.0,CR-0007,AGY-02,DEAL-1007
INT-00198,2025-02-20T11:50:00+00:00,CUST-0035,CAMP-007,SKU-0015,email,impression,SES-00111,NA,SMB,0.05,0.0,CR-0036,AGY-05,DEAL-1079
INT-00199,2025-01-02T02:57:00+00:00,CUST-0004,CAMP-006,SKU-0014,display,click,SES-00153,NA,Mid-Market,0.75,0.0,CR-0025,AGY-04,DEAL-1056
INT-00200,2025-01-28T09:49:00+00:00,CUST-0011,CAMP-016,SKU-0025,email,landing_view,SES-00044,APAC,Enterprise,0.06,0.0,CR-0018,AGY-04,DEAL-1048
INT-00201,2025-02-02T20:53:00+00:00,CUST-0009,CAMP-011,SKU-0005,organic_social,impression,SES-00077,NA,Startup,0.01,0.0,CR-0005,AGY-05,DEAL-1110
INT-00202,2025-03-28T08:44:00+00:00,CUST-0093,CAMP-032,SKU-0010,webinar,click,SES-00035,EMEA,Enterprise,3.87,0.0,CR-0001,AGY-03,DEAL-1014
INT-00203,2025-01-28T08:18:00+00:00,CUST-0043,CAMP-029,SKU-0002,display,click,SES-00211,LATAM,Mid-Market,0.76,0.0,CR-0009,AGY-06,DEAL-1085
INT-00204,2025-02-27T14:35:00+00:00,CUST-0062,CAMP-021,SKU-0011,email,purchase,SES-00082,NA,Mid-Market,1.67,7696.97,CR-0045,AGY-06,DEAL-1069
INT-00205,2025-02-19T15:56:00+00:00,CUST-0036,CAMP-026,SKU-0009,display,impression,SES-00145,EMEA,Enterprise,0.22,0.0,CR-0038,AGY-03,DEAL-1009
INT-00206,2025-03-16T13:03:00+00:00,CUST-0094,CAMP-030,SKU-0013,webinar,click,SES-00075,EMEA,Enterprise,4.42,0.0,CR-0005,AGY-03,DEAL-1074
INT-00207,2025-01-15T00:43:00+00:00,CUST-0087,CAMP-032,SKU-0010,email,landing_view,SES-00062,NA,Startup,0.06,0.0,CR-0043,AGY-03,DEAL-1084
INT-00208,2025-02-08T01:47:00+00:00,CUST-0010,CAMP-029,SKU-0002,content_syndication,click,SES-00137,NA,Enterprise,1.01,0.0,CR-0045,AGY-06,DEAL-1007
INT-00209,2025-02-28T21:23:00+00:00,CUST-0090,CAMP-006,SKU-0014,social_paid,form_submit,SES-00169,LATAM,Mid-Market,6.05,0.0,CR-0011,AGY-04,DEAL-1098
INT-00210,2025-03-09T23:31:00+00:00,CUST-0043,CAMP-028,SKU-0005,social_paid,impression,SES-00067,LATAM,Mid-Market,0.36,0.0,CR-0033,AGY-01,DEAL-1085
INT-00211,2025-01-03T05:39:00+00:00,CUST-0058,CAMP-024,SKU-0017,organic_social,click,SES-00174,APAC,Mid-Market,0.05,0.0,CR-0023,AGY-06,DEAL-1094
INT-00212,2025-01-29T09:20:00+00:00,CUST-0054,CAMP-006,SKU-0007,social_paid,mql,SES-00187,NA,SMB,5.04,0.0,CR-0023,AGY-04,DEAL-1011
INT-00213,2025-01-07T02:44:00+00:00,CUST-0045,CAMP-031,SKU-0019,social_paid,click,SES-00179,APAC,Enterprise,1.13,0.0,CR-0021,AGY-05,DEAL-1112
INT-00214,2025-02-16T23:12:00+00:00,CUST-0003,CAMP-022,SKU-0016,social_paid,landing_view,SES-00043,LATAM,SMB,0.43,0.0,CR-0016,AGY-06,DEAL-1031
INT-00215,2025-02-28T07:08:00+00:00,CUST-0043,CAMP-028,SKU-0005,content_syndication,impression,SES-00104,LATAM,Mid-Market,0.31,0.0,CR-0012,AGY-01,DEAL-1085
INT-00216,2025-01-19T17:32:00+00:00,CUST-0004,CAMP-013,SKU-0020,content_syndication,click,SES-00100,NA,Mid-Market,0.93,0.0,CR-0014,AGY-03,DEAL-1056
INT-00217,2025-01-24T21:07:00+00:00,CUST-0074,CAMP-007,SKU-0015,email,impression,SES-00051,EMEA,SMB,0.05,0.0,CR-0008,AGY-05,DEAL-1110
INT-00218,2025-02-02T00:55:00+00:00,CUST-0068,CAMP-021,SKU-0018,organic_social,landing_view,SES-00151,APAC,SMB,0.02,0.0,CR-0023,AGY-06,DEAL-1115
INT-00219,2025-01-28T19:06:00+00:00,CUST-0087,CAMP-020,SKU-0026,social_paid,landing_view,SES-00081,NA,Startup,0.42,0.0,CR-0016,AGY-06,DEAL-1084
INT-00220,2025-02-08T12:08:00+00:00,CUST-0089,CAMP-010,SKU-0003,organic_social,click,SES-00036,NA,SMB,0.05,0.0,CR-0025,AGY-04,DEAL-1035
INT-00221,2025-02-26T09:07:00+00:00,CUST-0072,CAMP-011,SKU-0007,content_syndication,impression,SES-00048,LATAM,SMB,0.26,0.0,CR-0029,AGY-05,DEAL-1095
INT-00222,2025-03-04T07:44:00+00:00,CUST-0002,CAMP-032,SKU-0010,email,impression,SES-00099,EMEA,Enterprise,0.04,0.0,CR-0027,AGY-03,DEAL-1035
INT-00223,2025-01-03T23:25:00+00:00,CUST-0063,CAMP-011,SKU-0026,social_paid,click,SES-00204,NA,Mid-Market,1.12,0.0,CR-0019,AGY-05,DEAL-1106
INT-00224,2025-01-25T09:12:00+00:00,CUST-0022,CAMP-030,SKU-0013,content_syndication,click,SES-00029,APAC,Mid-Market,1.08,0.0,CR-0008,AGY-03,DEAL-1008
INT-00225,2025-03-10T09:20:00+00:00,CUST-0070,CAMP-003,SKU-0018,content_syndication,click,SES-00109,EMEA,Mid-Market,0.92,0.0,CR-0042,AGY-03,DEAL-1085
INT-00226,2025-03-12T14:23:00+00:00,CUST-0058,CAMP-017,SKU-0014,display,demo_booked,SES-00023,APAC,Mid-Market,4.2,147.52,CR-0008,AGY-01,DEAL-1094
INT-00227,2025-03-15T07:30:00+00:00,CUST-0091,CAMP-028,SKU-0005,email,landing_view,SES-00201,APAC,Mid-Market,0.05,0.0,CR-0014,AGY-01,DEAL-1082
INT-00228,2025-02-22T03:09:00+00:00,CUST-0069,CAMP-018,SKU-0026,email,impression,SES-00181,NA,Enterprise,0.04,0.0,CR-0019,AGY-05,DEAL-1026
INT-00229,2025-03-20T19:58:00+00:00,CUST-0018,CAMP-027,SKU-0005,paid_search,purchase,SES-00168,NA,Mid-Market,16.37,9832.19,CR-0045,AGY-04,DEAL-1007
INT-00230,2025-02-07T16:53:00+00:00,CUST-0087,CAMP-026,SKU-0011,content_syndication,impression,SES-00162,NA,Startup,0.29,0.0,CR-0041,AGY-03,DEAL-1084
INT-00231,2025-03-28T11:51:00+00:00,CUST-0082,CAMP-006,SKU-0014,organic_social,click,SES-00072,LATAM,Mid-Market,0.05,0.0,CR-0030,AGY-04,DEAL-1048
INT-00232,2025-03-14T10:11:00+00:00,CUST-0094,CAMP-006,SKU-0014,content_syndication,landing_view,SES-00179,EMEA,Enterprise,0.4,0.0,CR-0005,AGY-04,DEAL-1022
INT-00233,2025-02-19T19:37:00+00:00,CUST-0055,CAMP-014,SKU-0007,content_syndication,impression,SES-00213,EMEA,Mid-Market,0.31,0.0,CR-0022,AGY-01,DEAL-1035
INT-00234,2025-01-12T07:24:00+00:00,CUST-0044,CAMP-004,SKU-0020,paid_search,impression,SES-00201,EMEA,Enterprise,0.85,0.0,CR-0002,AGY-06,DEAL-1119
INT-00235,2025-03-24T18:37:00+00:00,CUST-0057,CAMP-030,SKU-0027,paid_search,purchase,SES-00110,NA,SMB,19.12,5460.6,CR-0045,AGY-03,DEAL-1016
INT-00236,2025-02-06T01:49:00+00:00,CUST-0012,CAMP-024,SKU-0017,partner,impression,SES-00171,APAC,Enterprise,0.93,0.0,CR-0004,AGY-06,DEAL-1049
INT-00237,2025-02-24T00:54:00+00:00,CUST-0055,CAMP-006,SKU-0010,social_paid,impression,SES-00123,EMEA,Mid-Market,0.33,0.0,CR-0009,AGY-04,DEAL-1035
INT-00238,2025-01-07T10:43:00+00:00,CUST-0002,CAMP-001,SKU-0024,display,mql,SES-00109,EMEA,Enterprise,2.4,0.0,CR-0031,AGY-05,DEAL-1035
INT-00239,2025-02-28T09:32:00+00:00,CUST-0014,CAMP-021,SKU-0025,display,demo_booked,SES-00036,APAC,Mid-Market,4.62,106.1,CR-0009,AGY-06,DEAL-1036
INT-00240,2025-02-26T01:50:00+00:00,CUST-0079,CAMP-011,SKU-0026,content_syndication,impression,SES-00055,EMEA,Startup,0.32,0.0,CR-0027,AGY-05,DEAL-1102
INT-00241,2025-02-01T23:56:00+00:00,CUST-0012,CAMP-007,SKU-0024,email,form_submit,SES-00151,APAC,Enterprise,0.9,0.0,CR-0025,AGY-05,DEAL-1049
INT-00242,2025-01-26T22:25:00+00:00,CUST-0032,CAMP-018,SKU-0023,social_paid,impression,SES-00154,APAC,Enterprise,0.39,0.0,CR-0039,AGY-05,DEAL-1016
INT-00243,2025-01-27T21:37:00+00:00,CUST-0085,CAMP-020,SKU-0026,webinar,click,SES-00131,LATAM,Mid-Market,4.18,0.0,CR-0026,AGY-06,DEAL-1044
INT-00244,2025-02-18T02:03:00+00:00,CUST-0064,CAMP-025,SKU-0003,social_paid,impression,SES-00164,NA,Startup,0.4,0.0,CR-0005,AGY-02,DEAL-1074
INT-00245,2025-02-03T06:15:00+00:00,CUST-0047,CAMP-021,SKU-0015,email,click,SES-00215,EMEA,SMB,0.15,0.0,CR-0027,AGY-06,DEAL-1113
INT-00246,2025-01-04T15:00:00+00:00,CUST-0061,CAMP-005,SKU-0027,paid_search,click,SES-00004,EMEA,Mid-Market,2.82,0.0,CR-0014,AGY-03,DEAL-1009
INT-00247,2025-02-18T20:08:00+00:00,CUST-0065,CAMP-019,SKU-0015,organic_social,click,SES-00103,EMEA,Startup,0.05,0.0,CR-0041,AGY-05,DEAL-1055
INT-00248,2025-01-30T17:47:00+00:00,CUST-0036,CAMP-006,SKU-0007,partner,impression,SES-00053,EMEA,Enterprise,0.87,0.0,CR-0035,AGY-04,DEAL-1009
INT-00249,2025-02-11T06:24:00+00:00,CUST-0040,CAMP-028,SKU-0003,webinar,impression,SES-00023,NA,Enterprise,1.24,0.0,CR-0008,AGY-01,DEAL-1047
INT-00250,2025-02-15T04:25:00+00:00,CUST-0040,CAMP-012,SKU-0002,social_paid,impression,SES-00036,NA,Enterprise,0.41,0.0,CR-0011,AGY-02,DEAL-1047
INT-00251,2025-01-31T11:50:00+00:00,CUST-0022,CAMP-024,SKU-0025,email,form_submit,SES-00069,APAC,Mid-Market,0.8,0.0,CR-0002,AGY-06,DEAL-1008
INT-00252,2025-03-20T05:18:00+00:00,CUST-0034,CAMP-005,SKU-0013,content_syndication,click,SES-00093,EMEA,SMB,1.02,0.0,CR-0032,AGY-03,DEAL-1001
INT-00253,2025-03-09T10:15:00+00:00,CUST-0021,CAMP-017,SKU-0025,social_paid,demo_booked,SES-00173,NA,Enterprise,4.7,172.59,CR-0015,AGY-01,DEAL-1108
INT-00254,2025-02-20T07:45:00+00:00,CUST-0006,CAMP-031,SKU-0001,display,click,SES-00039,LATAM,Mid-Market,0.87,0.0,CR-0003,AGY-05,DEAL-1011
INT-00255,2025-03-17T04:25:00+00:00,CUST-0029,CAMP-021,SKU-0011,webinar,click,SES-00185,LATAM,Enterprise,3.49,0.0,CR-0018,AGY-06,DEAL-1033
INT-00256,2025-01-07T06:34:00+00:00,CUST-0016,CAMP-004,SKU-0022,email,impression,SES-00133,EMEA,Mid-Market,0.05,0.0,CR-0026,AGY-06,DEAL-1007
INT-00257,2025-01-27T12:59:00+00:00,CUST-0040,CAMP-021,SKU-0011,social_paid,click,SES-00003,NA,Enterprise,1.22,0.0,CR-0013,AGY-06,DEAL-1047
INT-00258,2025-03-11T05:17:00+00:00,CUST-0095,CAMP-016,SKU-0025,content_syndication,impression,SES-00127,EMEA,Enterprise,0.33,0.0,CR-0035,AGY-04,DEAL-1004
INT-00259,2025-01-01T03:11:00+00:00,CUST-0001,CAMP-027,SKU-0005,paid_search,impression,SES-00089,EMEA,Enterprise,0.81,0.0,CR-0022,AGY-04,DEAL-1054
INT-00260,2025-03-29T11:44:00+00:00,CUST-0095,CAMP-020,SKU-0015,social_paid,impression,SES-00061,EMEA,Enterprise,0.31,0.0,CR-0032,AGY-06,DEAL-1004
INT-00261,2025-03-05T19:01:00+00:00,CUST-0092,CAMP-018,SKU-0023,social_paid,impression,SES-00060,NA,Startup,0.4,0.0,CR-0027,AGY-05,DEAL-1107
INT-00262,2025-02-21T16:25:00+00:00,CUST-0011,CAMP-007,SKU-0020,email,landing_view,SES-00101,APAC,Enterprise,0.05,0.0,CR-0038,AGY-05,DEAL-1048
INT-00263,2025-03-17T17:18:00+00:00,CUST-0031,CAMP-019,SKU-0008,partner,mql,SES-00206,NA,Startup,15.43,0.0,CR-0045,AGY-05,DEAL-1033
INT-00264,2025-01-10T14:48:00+00:00,CUST-0030,CAMP-005,SKU-0013,webinar,impression,SES-00198,NA,Enterprise,1.08,0.0,CR-0010,AGY-03,DEAL-1085
INT-00265,2025-01-29T01:30:00+00:00,CUST-0041,CAMP-027,SKU-0005,social_paid,click,SES-00198,EMEA,SMB,1.19,0.0,CR-0029,AGY-04,DEAL-1020
INT-00266,2025-03-18T02:06:00+00:00,CUST-0012,CAMP-011,SKU-0008,partner,mql,SES-00179,APAC,Enterprise,15.9,0.0,CR-0014,AGY-05,DEAL-1049
INT-00267,2025-03-28T15:53:00+00:00,CUST-0046,CAMP-026,SKU-0009,paid_search,landing_view,SES-00067,LATAM,Mid-Market,0.97,0.0,CR-0002,AGY-03,DEAL-1033
INT-00268,2025-01-02T02:07:00+00:00,CUST-0072,CAMP-016,SKU-0025,social_paid,click,SES-00206,LATAM,SMB,1.04,0.0,CR-0008,AGY-04,DEAL-1079
INT-00269,2025-02-23T08:23:00+00:00,CUST-0017,CAMP-013,SKU-0020,organic_social,impression,SES-00162,LATAM,Startup,0.01,0.0,CR-0038,AGY-03,DEAL-1095
INT-00270,2025-03-24T09:10:00+00:00,CUST-0003,CAMP-005,SKU-0018,webinar,demo_booked,SES-00114,LATAM,SMB,25.74,24.51,CR-0006,AGY-03,DEAL-1111
INT-00271,2025-02-04T20:05:00+00:00,CUST-0007,CAMP-011,SKU-0005,organic_social,mql,SES-00102,LATAM,Enterprise,0.24,0.0,CR-0002,AGY-05,DEAL-1021
INT-00272,2025-02-26T08:36:00+00:00,CUST-0024,CAMP-018,SKU-0006,partner,click,SES-00039,EMEA,SMB,3.11,0.0,CR-0040,AGY-05,DEAL-1051
INT-00273,2025-02-08T03:49:00+00:00,CUST-0064,CAMP-027,SKU-0008,content_syndication,impression,SES-00072,NA,Startup,0.27,0.0,CR-0009,AGY-04,DEAL-1074
INT-00274,2025-03-13T03:04:00+00:00,CUST-0081,CAMP-002,SKU-0011,organic_social,form_submit,SES-00092,NA,Startup,0.25,0.0,CR-0035,AGY-04,DEAL-1100
INT-00275,2025-03-23T12:49:00+00:00,CUST-0050,CAMP-018,SKU-0006,email,impression,SES-00153,LATAM,Enterprise,0.05,0.0,CR-0002,AGY-05,DEAL-1026
INT-00276,2025-01-23T13:27:00+00:00,CUST-0008,CAMP-031,SKU-0001,display,form_submit,SES-00060,APAC,Enterprise,3.81,0.0,CR-0007,AGY-05,DEAL-1062
INT-00277,2025-01-22T12:45:00+00:00,CUST-0029,CAMP-025,SKU-0009,display,trial_start,SES-00217,LATAM,Enterprise,10.42,348.81,CR-0012,AGY-02,DEAL-1119
INT-00278,2025-01-29T03:08:00+00:00,CUST-0091,CAMP-023,SKU-0027,email,click,SES-00049,APAC,Mid-Market,0.14,0.0,CR-0035,AGY-06,DEAL-1044
INT-00279,2025-01-01T01:29:00+00:00,CUST-0012,CAMP-004,SKU-0019,webinar,landing_view,SES-00006,APAC,Enterprise,1.52,0.0,CR-0031,AGY-06,DEAL-1049
INT-00280,2025-01-02T23:52:00+00:00,CUST-0017,CAMP-022,SKU-0018,email,trial_start,SES-00217,LATAM,Startup,1.19,70.83,CR-0004,AGY-06,DEAL-1095
INT-00281,2025-01-10T04:42:00+00:00,CUST-0068,CAMP-024,SKU-0021,social_paid,impression,SES-00170,APAC,SMB,0.34,0.0,CR-0038,AGY-06,DEAL-1115
INT-00282,2025-03-06T08:51:00+00:00,CUST-0018,CAMP-011,SKU-0007,organic_social,form_submit,SES-00125,NA,Mid-Market,0.34,0.0,CR-0012,AGY-05,DEAL-1006
INT-00283,2025-01-17T04:12:00+00:00,CUST-0029,CAMP-012,SKU-0008,organic_social,impression,SES-00177,LATAM,Enterprise,0.02,0.0,CR-0009,AGY-02,DEAL-1033
INT-00284,2025-02-21T11:27:00+00:00,CUST-0073,CAMP-003,SKU-0005,email,landing_view,SES-00208,EMEA,Startup,0.05,0.0,CR-0041,AGY-03,DEAL-1118
INT-00285,2025-03-22T14:00:00+00:00,CUST-0019,CAMP-022,SKU-0027,social_paid,impression,SES-00082,APAC,Startup,0.41,0.0,CR-0041,AGY-06,DEAL-1117
INT-00286,2025-01-24T08:40:00+00:00,CUST-0058,CAMP-001,SKU-0024,partner,impression,SES-00178,APAC,Mid-Market,0.98,0.0,CR-0023,AGY-05,DEAL-1020
INT-00287,2025-03-22T06:15:00+00:00,CUST-0007,CAMP-025,SKU-0015,content_syndication,form_submit,SES-00043,LATAM,Enterprise,4.07,0.0,CR-0032,AGY-02,DEAL-1021
INT-00288,2025-01-02T19:51:00+00:00,CUST-0062,CAMP-015,SKU-0013,email,click,SES-00205,NA,Mid-Market,0.14,0.0,CR-0019,AGY-06,DEAL-1069
INT-00289,2025-02-19T19:02:00+00:00,CUST-0010,CAMP-022,SKU-0016,email,demo_booked,SES-00042,NA,Enterprise,1.07,67.59,CR-0005,AGY-06,DEAL-1007
INT-00290,2025-01-15T07:11:00+00:00,CUST-0091,CAMP-002,SKU-0013,organic_social,trial_start,SES-00043,APAC,Mid-Market,0.31,487.2,CR-0028,AGY-04,DEAL-1082
INT-00291,2025-02-22T01:03:00+00:00,CUST-0090,CAMP-017,SKU-0025,partner,impression,SES-00025,LATAM,Mid-Market,0.91,0.0,CR-0026,AGY-01,DEAL-1098
